c n x y
Total Invest 584.028 W+BIO
Total Fuel 1102.08 W+BIO
Total Maint 178.274 W+BIO
Total Import 2198.504 W+BIO
Total Export 0.0 W+BIO
Total Certificates 0.544 W+BIO
Total DH 570.771 W+BIO
Total Grid_Tariffs 207.794 W+BIO
Total Emission_costs 246.699 W+BIO
Total Total_cost 4586.877 W+BIO
Total Emissions 492588.624 W+BIO
Total LCOE 0.0 W+BIO
Power1 Invest 0.0 W+BIO
Power1 Fuel 0.0 W+BIO
Power1 Maint 0.0 W+BIO
Power1 Certificates 0 W+BIO
Power1 Grid_Tariffs 0 W+BIO
Power1 Emission_costs 0 W+BIO
Power1 LCOE 0.0 W+BIO
Power2 Invest 225.4927410057708 W+BIO
Power2 Fuel 1102.079999999995 W+BIO
Power2 Maint 143.013698630137 W+BIO
Power2 Certificates 0 W+BIO
Power2 Grid_Tariffs 0 W+BIO
Power2 Emission_costs 0 W+BIO
Power2 LCOE 0.06252493365798908 W+BIO
Heat1 Invest 0.0 W+BIO
Heat1 Fuel 0.0 W+BIO
Heat1 Maint 0.0 W+BIO
Heat1 Certificates 0 W+BIO
Heat1 Grid_Tariffs 0 W+BIO
Heat1 Emission_costs 0 W+BIO
Heat1 LCOE 0.0 W+BIO
PV Invest 41.55027117545384 W+BIO
PV Fuel 0 W+BIO
PV Maint 26.63013698630137 W+BIO
PV Certificates 0 W+BIO
PV Grid_Tariffs 0 W+BIO
PV Emission_costs 0 W+BIO
PV LCOE 0.2507370114804178 W+BIO
ST Invest 62.95495632644522 W+BIO
ST Fuel 0 W+BIO
ST Maint 8.63013698630137 W+BIO
ST Certificates 0 W+BIO
ST Grid_Tariffs 0 W+BIO
ST Emission_costs 0 W+BIO
ST LCOE 0.4227549359992122 W+BIO
ElGrid Invest 0 W+BIO
ElGrid Fuel 0 W+BIO
ElGrid Maint 0 W+BIO
ElGrid Certificates 0 W+BIO
ElGrid Grid_Tariffs 0 W+BIO
ElGrid Emission_costs 0 W+BIO
ElGrid LCOE 0.1002512827925379 W+BIO
DH Invest 0 W+BIO
DH Fuel 0 W+BIO
DH Maint 0 W+BIO
DH Certificates 0 W+BIO
DH Grid_Tariffs 0 W+BIO
DH Emission_costs 0 W+BIO
DH LCOE 3.370758637465434 W+BIO
Total Invest 828.572 W+BIO+FC
Total Fuel 2425.713 W+BIO+FC
Total Maint 253.806 W+BIO+FC
Total Import 0.0 W+BIO+FC
Total Export 25.295 W+BIO+FC
Total Certificates 0.544 W+BIO+FC
Total DH 7.192 W+BIO+FC
Total Grid_Tariffs 207.794 W+BIO+FC
Total Emission_costs 246.699 W+BIO+FC
Total Total_cost 3443.208 W+BIO+FC
Total Emissions 104533.333 W+BIO+FC
Total LCOE 0.0 W+BIO+FC
Power1 Invest 244.5439392393027 W+BIO+FC
Power1 Fuel 1323.633126121674 W+BIO+FC
Power1 Maint 75.53213909378294 W+BIO+FC
Power1 Certificates 0 W+BIO+FC
Power1 Grid_Tariffs 0 W+BIO+FC
Power1 Emission_costs 0 W+BIO+FC
Power1 LCOE 0.06601896671897814 W+BIO+FC
Power2 Invest 225.4927410057708 W+BIO+FC
Power2 Fuel 1102.079999999995 W+BIO+FC
Power2 Maint 143.013698630137 W+BIO+FC
Power2 Certificates 0 W+BIO+FC
Power2 Grid_Tariffs 0 W+BIO+FC
Power2 Emission_costs 0 W+BIO+FC
Power2 LCOE 0.06252493365798908 W+BIO+FC
Heat1 Invest 0.0 W+BIO+FC
Heat1 Fuel 0.0 W+BIO+FC
Heat1 Maint 0.0 W+BIO+FC
Heat1 Certificates 0 W+BIO+FC
Heat1 Grid_Tariffs 0 W+BIO+FC
Heat1 Emission_costs 0 W+BIO+FC
Heat1 LCOE 0.0 W+BIO+FC
PV Invest 41.55027117545384 W+BIO+FC
PV Fuel 0 W+BIO+FC
PV Maint 26.63013698630137 W+BIO+FC
PV Certificates 0 W+BIO+FC
PV Grid_Tariffs 0 W+BIO+FC
PV Emission_costs 0 W+BIO+FC
PV LCOE 0.2507370114804178 W+BIO+FC
ST Invest 62.95495632644522 W+BIO+FC
ST Fuel 0 W+BIO+FC
ST Maint 8.63013698630137 W+BIO+FC
ST Certificates 0 W+BIO+FC
ST Grid_Tariffs 0 W+BIO+FC
ST Emission_costs 0 W+BIO+FC
ST LCOE 0.4227549359992122 W+BIO+FC
ElGrid Invest 0 W+BIO+FC
ElGrid Fuel 0 W+BIO+FC
ElGrid Maint 0 W+BIO+FC
ElGrid Certificates 0 W+BIO+FC
ElGrid Grid_Tariffs 0 W+BIO+FC
ElGrid Emission_costs 0 W+BIO+FC
ElGrid LCOE 0.0 W+BIO+FC
DH Invest 0 W+BIO+FC
DH Fuel 0 W+BIO+FC
DH Maint 0 W+BIO+FC
DH Certificates 0 W+BIO+FC
DH Grid_Tariffs 0 W+BIO+FC
DH Emission_costs 0 W+BIO+FC
DH LCOE 0.04247198264877973 W+BIO+FC
Total Invest 603.079 W+FC
Total Fuel 1696.97 W+FC
Total Maint 110.792 W+FC
Total Import 1413.295 W+FC
Total Export 0.0 W+FC
Total Certificates 0.544 W+FC
Total DH 543.097 W+FC
Total Grid_Tariffs 207.794 W+FC
Total Emission_costs 0.0 W+FC
Total Total_cost 4320.453 W+FC
Total Emissions 249724.435 W+FC
Total LCOE 0.0 W+FC
Power1 Invest 244.5439392393027 W+FC
Power1 Fuel 1696.969696969698 W+FC
Power1 Maint 75.53213909378294 W+FC
Power1 Certificates 0 W+FC
Power1 Grid_Tariffs 0 W+FC
Power1 Emission_costs 0 W+FC
Power1 LCOE 0.06319065712101454 W+FC
Power2 Invest 0.0 W+FC
Power2 Fuel 0.0 W+FC
Power2 Maint 0.0 W+FC
Power2 Certificates 0 W+FC
Power2 Grid_Tariffs 0 W+FC
Power2 Emission_costs 0 W+FC
Power2 LCOE 0.0 W+FC
Heat1 Invest 0.0 W+FC
Heat1 Fuel 0.0 W+FC
Heat1 Maint 0.0 W+FC
Heat1 Certificates 0 W+FC
Heat1 Grid_Tariffs 0 W+FC
Heat1 Emission_costs 0 W+FC
Heat1 LCOE 0.0 W+FC
PV Invest 41.55027117545384 W+FC
PV Fuel 0 W+FC
PV Maint 26.63013698630137 W+FC
PV Certificates 0 W+FC
PV Grid_Tariffs 0 W+FC
PV Emission_costs 0 W+FC
PV LCOE 0.2507370114804178 W+FC
ST Invest 62.95495632644522 W+FC
ST Fuel 0 W+FC
ST Maint 8.63013698630137 W+FC
ST Certificates 0 W+FC
ST Grid_Tariffs 0 W+FC
ST Emission_costs 0 W+FC
ST LCOE 0.4227549359992122 W+FC
ElGrid Invest 0 W+FC
ElGrid Fuel 0 W+FC
ElGrid Maint 0 W+FC
ElGrid Certificates 0 W+FC
ElGrid Grid_Tariffs 0 W+FC
ElGrid Emission_costs 0 W+FC
ElGrid LCOE 0.1043678180332577 W+FC
DH Invest 0 W+FC
DH Fuel 0 W+FC
DH Maint 0 W+FC
DH Certificates 0 W+FC
DH Grid_Tariffs 0 W+FC
DH Emission_costs 0 W+FC
DH LCOE 3.207327060273018 W+FC
Total Invest 358.535 S+BIO
Total Fuel 0.0 S+BIO
Total Maint 35.26 S+BIO
Total Import 1253.067 S+BIO
Total Export 0.0 S+BIO
Total Certificates 4.217 S+BIO
Total DH 189.792 S+BIO
Total Grid_Tariffs 207.794 S+BIO
Total Emission_costs 0.0 S+BIO
Total Total_cost 1786.202 S+BIO
Total Emissions 325622.315 S+BIO
Total LCOE 0.0 S+BIO
Power1 Invest 0.0 S+BIO
Power1 Fuel 0.0 S+BIO
Power1 Maint 0.0 S+BIO
Power1 Certificates 0 S+BIO
Power1 Grid_Tariffs 0 S+BIO
Power1 Emission_costs 0 S+BIO
Power1 LCOE 0.0 S+BIO
Power2 Invest 0.0 S+BIO
Power2 Fuel 1.165290086646564e-15 S+BIO
Power2 Maint 0.0 S+BIO
Power2 Certificates 0 S+BIO
Power2 Grid_Tariffs 0 S+BIO
Power2 Emission_costs 0 S+BIO
Power2 LCOE 0.0 S+BIO
Heat1 Invest 0.0 S+BIO
Heat1 Fuel 0.0 S+BIO
Heat1 Maint 0.0 S+BIO
Heat1 Certificates 0 S+BIO
Heat1 Grid_Tariffs 0 S+BIO
Heat1 Emission_costs 0 S+BIO
Heat1 LCOE 0.0 S+BIO
PV Invest 41.55027117545384 S+BIO
PV Fuel 0 S+BIO
PV Maint 26.63013698630137 S+BIO
PV Certificates 0 S+BIO
PV Grid_Tariffs 0 S+BIO
PV Emission_costs 0 S+BIO
PV LCOE 0.03233582395234321 S+BIO
ST Invest 62.95495632644522 S+BIO
ST Fuel 0 S+BIO
ST Maint 8.63013698630137 S+BIO
ST Certificates 0 S+BIO
ST Grid_Tariffs 0 S+BIO
ST Emission_costs 0 S+BIO
ST LCOE 0.04853818995724672 S+BIO
ElGrid Invest 0 S+BIO
ElGrid Fuel 0 S+BIO
ElGrid Maint 0 S+BIO
ElGrid Certificates 0 S+BIO
ElGrid Grid_Tariffs 0 S+BIO
ElGrid Emission_costs 0 S+BIO
ElGrid LCOE 0.07396406497164867 S+BIO
DH Invest 0 S+BIO
DH Fuel 0 S+BIO
DH Maint 0 S+BIO
DH Certificates 0 S+BIO
DH Grid_Tariffs 0 S+BIO
DH Emission_costs 0 S+BIO
DH LCOE 0.1286882669720591 S+BIO
Total Invest 358.535 S+BIO+FC
Total Fuel 0.0 S+BIO+FC
Total Maint 35.26 S+BIO+FC
Total Import 1253.067 S+BIO+FC
Total Export 0.0 S+BIO+FC
Total Certificates 4.217 S+BIO+FC
Total DH 191.675 S+BIO+FC
Total Grid_Tariffs 207.794 S+BIO+FC
Total Emission_costs 0.0 S+BIO+FC
Total Total_cost 1788.085 S+BIO+FC
Total Emissions 325622.315 S+BIO+FC
Total LCOE 0.0 S+BIO+FC
Power1 Invest 0.0 S+BIO+FC
Power1 Fuel 4.874511233521309e-12 S+BIO+FC
Power1 Maint 0.0 S+BIO+FC
Power1 Certificates 0 S+BIO+FC
Power1 Grid_Tariffs 0 S+BIO+FC
Power1 Emission_costs 0 S+BIO+FC
Power1 LCOE 0.0 S+BIO+FC
Power2 Invest 0.0 S+BIO+FC
Power2 Fuel 9.405827749652726e-12 S+BIO+FC
Power2 Maint 0.0 S+BIO+FC
Power2 Certificates 0 S+BIO+FC
Power2 Grid_Tariffs 0 S+BIO+FC
Power2 Emission_costs 0 S+BIO+FC
Power2 LCOE 0.0 S+BIO+FC
Heat1 Invest 0.0 S+BIO+FC
Heat1 Fuel 0.0 S+BIO+FC
Heat1 Maint 0.0 S+BIO+FC
Heat1 Certificates 0 S+BIO+FC
Heat1 Grid_Tariffs 0 S+BIO+FC
Heat1 Emission_costs 0 S+BIO+FC
Heat1 LCOE 0.0 S+BIO+FC
PV Invest 41.55027117545384 S+BIO+FC
PV Fuel 0 S+BIO+FC
PV Maint 26.63013698630137 S+BIO+FC
PV Certificates 0 S+BIO+FC
