c n x y
Total Invest 584.028 W+POD+BIO
Total Fuel 2426.606 W+POD+BIO
Total Maint 178.274 W+POD+BIO
Total Import 0.0 W+POD+BIO
Total Export 26.224 W+POD+BIO
Total Certificates 0.544 W+POD+BIO
Total DH 7.192 W+POD+BIO
Total Grid_Tariffs 207.794 W+POD+BIO
Total Emission_costs 246.699 W+POD+BIO
Total Total_cost 3123.097 W+POD+BIO
Total Emissions 104533.333 W+POD+BIO
Total LCOE 0.0 W+POD+BIO
Power1 Invest 0.0 W+POD+BIO
Power1 Fuel 1324.526375230573 W+POD+BIO
Power1 Maint 0.0 W+POD+BIO
Power1 Certificates 0 W+POD+BIO
Power1 Grid_Tariffs 0 W+POD+BIO
Power1 Emission_costs 0 W+POD+BIO
Power1 LCOE 0.05316323478217447 W+POD+BIO
Power2 Invest 225.4927410057708 W+POD+BIO
Power2 Fuel 1102.079999999995 W+POD+BIO
Power2 Maint 143.013698630137 W+POD+BIO
Power2 Certificates 0 W+POD+BIO
Power2 Grid_Tariffs 0 W+POD+BIO
Power2 Emission_costs 0 W+POD+BIO
Power2 LCOE 0.06252493365798908 W+POD+BIO
Heat1 Invest 0.0 W+POD+BIO
Heat1 Fuel 0.0 W+POD+BIO
Heat1 Maint 0.0 W+POD+BIO
Heat1 Certificates 0 W+POD+BIO
Heat1 Grid_Tariffs 0 W+POD+BIO
Heat1 Emission_costs 0 W+POD+BIO
Heat1 LCOE 0.0 W+POD+BIO
PV Invest 41.55027117545384 W+POD+BIO
PV Fuel 0 W+POD+BIO
PV Maint 26.63013698630137 W+POD+BIO
PV Certificates 0 W+POD+BIO
PV Grid_Tariffs 0 W+POD+BIO
PV Emission_costs 0 W+POD+BIO
PV LCOE 0.2507370114804178 W+POD+BIO
ST Invest 62.95495632644522 W+POD+BIO
ST Fuel 0 W+POD+BIO
ST Maint 8.63013698630137 W+POD+BIO
ST Certificates 0 W+POD+BIO
ST Grid_Tariffs 0 W+POD+BIO
ST Emission_costs 0 W+POD+BIO
ST LCOE 0.4227549359992122 W+POD+BIO
ElGrid Invest 0 W+POD+BIO
ElGrid Fuel 0 W+POD+BIO
ElGrid Maint 0 W+POD+BIO
ElGrid Certificates 0 W+POD+BIO
ElGrid Grid_Tariffs 0 W+POD+BIO
ElGrid Emission_costs 0 W+POD+BIO
ElGrid LCOE 0.0 W+POD+BIO
DH Invest 0 W+POD+BIO
DH Fuel 0 W+POD+BIO
DH Maint 0 W+POD+BIO
DH Certificates 0 W+POD+BIO
DH Grid_Tariffs 0 W+POD+BIO
DH Emission_costs 0 W+POD+BIO
DH LCOE 0.04247198264878015 W+POD+BIO
Total Invest 828.572 W+POD+BIO+FC
Total Fuel 2426.606 W+POD+BIO+FC
Total Maint 253.806 W+POD+BIO+FC
Total Import 0.0 W+POD+BIO+FC
Total Export 26.224 W+POD+BIO+FC
Total Certificates 0.544 W+POD+BIO+FC
Total DH 7.192 W+POD+BIO+FC
Total Grid_Tariffs 207.794 W+POD+BIO+FC
Total Emission_costs 246.699 W+POD+BIO+FC
Total Total_cost 3443.173 W+POD+BIO+FC
Total Emissions 104533.333 W+POD+BIO+FC
