k x y
P_demand 17712.587 S+POD+BIO+FC
P_demand 17712.587 S+POD+BIO
P_demand 17712.587 S+POD+FC
P_demand 17712.587 S+POD+IMin+BIO+FC
P_demand 17712.587 S+POD+IMin+BIO
P_demand 17712.587 S+POD+IMin+FC
P_demand 17712.587 S+IMin+POD+BIO+FC
P_demand 17712.587 S+IMin+POD+BIO
P_demand 17712.587 S+IMin+POD+FC
P_demand 17712.587 S+IMin+POD+IMin+BIO+FC
P_demand 17712.587 S+IMin+POD+IMin+BIO
P_demand 17712.587 S+IMin+POD+IMin+FC
P_demand 17878.369 W+POD+BIO+FC
P_demand 17878.369 W+POD+BIO
P_demand 17878.369 W+POD+FC
P_demand 17878.369 W+POD+IMin+BIO+FC
P_demand 17878.369 W+POD+IMin+BIO
P_demand 17878.369 W+POD+IMin+FC
P_demand 17878.369 W+IMin+POD+BIO+FC
P_demand 17878.369 W+IMin+POD+BIO
P_demand 17878.369 W+IMin+POD+FC
P_demand 17878.369 W+IMin+POD+IMin+BIO+FC
P_demand 17878.369 W+IMin+POD+IMin+BIO
P_demand 17878.369 W+IMin+POD+IMin+FC
P_pv 1593.219 S+POD+BIO+FC
P_pv 1593.219 S+POD+BIO
P_pv 1593.219 S+POD+FC
P_pv 1593.219 S+POD+IMin+BIO+FC
P_pv 1593.219 S+POD+IMin+BIO
P_pv 1593.219 S+POD+IMin+FC
P_pv 1593.219 S+IMin+POD+BIO+FC
P_pv 1593.219 S+IMin+POD+BIO
P_pv 1593.219 S+IMin+POD+FC
P_pv 1593.219 S+IMin+POD+IMin+BIO+FC
P_pv 1593.219 S+IMin+POD+IMin+BIO
P_pv 1593.219 S+IMin+POD+IMin+FC
P_pv 221.51 W+POD+BIO+FC
P_pv 221.51 W+POD+BIO
P_pv 221.51 W+POD+FC
P_pv 221.51 W+POD+IMin+BIO+FC
P_pv 221.51 W+POD+IMin+BIO
P_pv 221.51 W+POD+IMin+FC
P_pv 221.51 W+IMin+POD+BIO+FC
P_pv 221.51 W+IMin+POD+BIO
P_pv 221.51 W+IMin+POD+FC
P_pv 221.51 W+IMin+POD+IMin+BIO+FC
P_pv 221.51 W+IMin+POD+IMin+BIO
P_pv 221.51 W+IMin+POD+IMin+FC
P_fc 0.0 S+POD+BIO+FC
P_fc 0.0 S+POD+BIO
P_fc 7040.273 S+POD+FC
P_fc 8053.662 S+POD+IMin+BIO+FC
P_fc 0.0 S+POD+IMin+BIO
P_fc 8054.601 S+POD+IMin+FC
P_fc 7040.273 S+IMin+POD+BIO+FC
P_fc 0.0 S+IMin+POD+BIO
P_fc 7040.273 S+IMin+POD+FC
P_fc 8049.978 S+IMin+POD+IMin+BIO+FC
P_fc 0.0 S+IMin+POD+IMin+BIO
P_fc 8050.812 S+IMin+POD+IMin+FC
P_fc 16800.0 W+POD+BIO+FC
P_fc 0.0 W+POD+BIO
P_fc 16800.0 W+POD+FC
P_fc 15184.087 W+POD+IMin+BIO+FC
P_fc 0.0 W+POD+IMin+BIO
P_fc 16065.258 W+POD+IMin+FC
P_fc 16800.0 W+IMin+POD+BIO+FC
P_fc 0.0 W+IMin+POD+BIO
